<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Lotos.Investment,20250129,2359.00,2396.00,2321.00,2347.00,9137314907,3894983,280,D,2347.00,2346.00
Lotos.Investment,20250127,2383.00,2399.00,2320.00,2347.00,18248679557,7695328,331,D,2331.00,2359.00
Lotos.Investment,20250126,2290.00,2345.00,2290.00,2331.00,24755894950,10632582,303,D,2334.00,2344.00
Lotos.Investment,20250125,2282.00,2369.00,2282.00,2334.00,17367091974,7514867,304,D,2348.00,2307.00
Lotos.Investment,20250122,2345.00,2400.00,2315.00,2348.00,22954622564,9791746,357,D,2351.00,2332.00
Lotos.Investment,20250121,2315.00,2384.00,2311.00,2351.00,22471881044,9690786,375,D,2382.00,2345.00
Lotos.Investment,20250120,2449.00,2449.00,2321.00,2382.00,7924531657,3400462,213,D,2392.00,2321.00
Lotos.Investment,20250119,2334.00,2399.00,2334.00,2392.00,10985121025,4642609,194,D,2400.00,2365.00
Lotos.Investment,20250118,2448.00,2448.00,2350.00,2400.00,14800380187,6289463,255,D,2422.00,2350.00
Lotos.Investment,20250115,2422.00,2422.00,2391.00,2422.00,61490975540,25389157,428,D,2352.00,2422.00
Lotos.Investment,20250113,2321.00,2374.00,2320.00,2352.00,34192742298,14426916,431,D,2305.00,2374.00
Lotos.Investment,20250112,2320.00,2323.00,2273.00,2305.00,27701513647,12145625,447,D,2343.00,2320.00
Lotos.Investment,20250111,2352.00,2360.00,2321.00,2343.00,41564015361,17744210,441,D,2348.00,2348.00
Lotos.Investment,20250108,2381.00,2398.00,2310.00,2348.00,33569442830,14325039,450,D,2358.00,2347.00
Lotos.Investment,20250107,2389.00,2400.00,2348.00,2358.00,32008196541,13531181,446,D,2343.00,2370.00
Lotos.Investment,20250106,2311.00,2389.00,2311.00,2343.00,36139958836,15392358,384,D,2327.00,2348.00
Lotos.Investment,20250105,2380.00,2380.00,2295.00,2327.00,49718967098,21368392,469,D,2314.00,2315.00
Lotos.Investment,20250104,2361.00,2361.00,2326.00,2314.00,14572809642,6172695,193,D,2293.00,2361.00
Lotos.Investment,20250101,2231.00,2326.00,2231.00,2293.00,36181266744,15718525,460,D,2259.00,2326.00
Lotos.Investment,20241231,2296.00,2296.00,2240.00,2259.00,9978410441,4384222,144,D,2254.00,2271.00
Lotos.Investment,20241230,2288.00,2288.00,2210.00,2254.00,22320677098,9972453,357,D,2270.00,2251.00
Lotos.Investment,20241229,2278.00,2329.00,2210.00,2270.00,18143619615,8002967,370,D,2272.00,2221.00
Lotos.Investment,20241228,2240.00,2278.00,2240.00,2272.00,50738125823,22331156,350,D,2212.00,2278.00
Lotos.Investment,20241225,2201.00,2250.00,2181.00,2212.00,29128918629,13242196,464,D,2236.00,2198.00
